ID,built per tick,by product,by product built per tick,by product,by product built per tick,time per tick (seconds),built form,components,how many?,components,how many?,components,how many?,components,how many?,components,how many?,components,how many?
Iron ore,1,,,,,0.5,Electric mining drill,,,,,,,,,,,,
Copper ore,1,,,,,0.5,Electric mining drill,,,,,,,,,,,,
Euranium ore,1,,,,,0.25,Electric mining drill,,,,,,,,,,,,
Stone,1,,,,,0.5,Electric mining drill,,,,,,,,,,,,
Coal,1,,,,,0.5,Electric mining drill,,,,,,,,,,,,
Water,1200,,,,,1,Offshore pump,,,,,,,,,,,,
Steam,60,,,,,1,Boiler,Water,60,,,,,,,,,,
Crude oil,10,,,,,1,Pumpjack (100%),,,,,,,,,,,,
Petroleum gas,45,,,,,5,Oil refinery,Crude oil,100,,,,,,,,,,
Petroleum gas,55,Heavy oil,25,Light oil,45,5,Oil refinery,Crude oil,100,Water,50,,,,,,,,
Petroleum gas,20,,,,,2,Chemical plant (1.0),Light oil,30,Water,30,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Light oil,30,,,,,2,Chemical plant (1.0),Heavy oil,40,Water,30,,,,,,,,
Lubricant,10,,,,,1,Chemical plant (1.0),Heavy oil,10,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Iron plate,0.3125,,,,,1,Stone furnace,Iron ore,0.3125,Coal,0.0225,,,,,,,,
Copper plate,0.3125,,,,,1,Stone furnace,Copper ore,0.3125,Coal,0.0225,,,,,,,,
Steel plate,0.0625,,,,,1,Stone furnace,Iron plate,0.3125,Coal,0.0225,,,,,,,,
Stone brick,0.3125,,,,,1,Stone furnace,Stone,0.3125,Coal,0.0225,,,,,,,,
Iron plate,0.625,,,,,1,Steel furnace,Iron ore,0.625,Coal,0.0225,,,,,,,,
Copper plate,0.625,,,,,1,Steel furnace,Copper ore,0.625,Coal,0.0225,,,,,,,,
Steel plate,0.125,,,,,1,Steel furnace,Iron plate,0.625,Coal,0.0225,,,,,,,,
Stone brick,0.625,,,,,1,Steel furnace,Stone,0.625,Coal,0.0225,,,,,,,,
Iron plate,0.625,,,,,1,Electric furnace,Iron ore,0.625,,,,,,,,,,
Copper plate,0.625,,,,,1,Electric furnace,Copper ore,0.625,,,,,,,,,,
Steel plate,0.125,,,,,1,Electric furnace,Iron plate,0.625,,,,,,,,,,
Stone brick,0.625,,,,,1,Electric furnace,Stone,0.625,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Iron gear wheel,1,,,,,0.5,Assembling machine (1.0),Iron plate,2,,,,,,,,,,
Automation science pack,1,,,,,5,Assembling machine (1.0),Iron gear wheel,1,Copper plate,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Copper cable,2,,,,,0.5,Assembling machine (1.0),Copper plate,1,,,,,,,,,,
Electronic circuit,1,,,,,0.5,Assembling machine (1.0),Copper cable,3,Iron plate,1,,,,,,,,
Inserter,1,,,,,0.5,Assembling machine (1.0),Electronic circuit,1,Iron gear wheel,1,Iron plate,1,,,,,,
Transport belt,2,,,,,0.5,Assembling machine (1.0),Iron gear wheel,1,Iron plate,1,,,,,,,,
Logistic science pack,1,,,,,6,Assembling machine (1.0),Inserter,1,Transport belt,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Granade,1,,,,,8,Assembling machine (1.0),Coal,10,Iron plate,5,,,,,,,,
Firearm magazine,1,,,,,1,Assembling machine (1.0),Iron plate,4,,,,,,,,,,
Piercing rounds magazine,1,,,,,3,Assembling machine (1.0),Copper plate,5,Steel plate,1,Firearm magazine,1,,,,,,
Wall,1,,,,,0.5,Assembling machine (1.0),Stone brick,5,,,,,,,,,,
Military science pack,2,,,,,10,Assembling machine (1.0),Granade,1,Piercing rounds magazine,1,Wall,2,,,,,,
,,,,,,,,,,,,,,,,,,,
Plastic bar,2,,,,,1,Chemical plant (1.0),Coal,1,Petroleum gas,20,,,,,,,,
Advanced circuit,1,,,,,6,Assembling machine (1.0),Copper cable,4,Electronic circuit,2,Plastic bar,2,,,,,,
Pipe,1,,,,,0.5,Assembling machine (1.0),Iron plate,1,,,,,,,,,,
Engine unit,1,,,,,10,Assembling machine (1.0),Iron gear wheel,1,Pipe,2,Steel plate,1,,,,,,
Sulfur,2,,,,,1,Chemical plant (1.0),Petroleum gas,30,Water,30,,,,,,,,
Chemical science pack,2,,,,,24,Assembling machine (1.0),Advanced circuit,3,Engine unit,2,Sulfur,1,,,,,,
,,,,,,,,,,,,,,,,,,,
Sulfuric acid,50,,,,,1,Chemical plant (1.0),Iron plate,1,Sulfur,5,Water,100,,,,,,
Electric furnace,1,,,,,5,Assembling machine (1.0),Advanced circuit,5,Steel plate,10,Stone brick,10,,,,,,
Productivity module,1,,,,,15,Assembling machine (1.0),Advanced circuit,5,Electronic circuit,5,,,,,,,,
Iron stick,2,,,,,0.5,Assembling machine (1.0),Iron plate,1,,,,,,,,,,
Rail,2,,,,,0.5,Assembling machine (1.0),Iron stick,1,Steel plate,1,Stone,1,,,,,,
Production science pack,3,,,,,21,Assembling machine (1.0),Electric furnace,1,Productivity module,1,Rail,30,,,,,,
,,,,,,,,,,,,,,,,,,,
Battery,1,,,,,4,Chemical plant (1.0),Copper plate,1,Iron plate,1,Sulfuric acid,20,,,,,,
Electric engine unit,1,,,,,10,Assembling machine (1.0),Electronic circuit,2,Engine unit,1,Lubricant,15,,,,,,
Flying robot frame,1,,,,,20,Assembling machine (1.0),Battery,2,Electric engine unit,1,Electronic circuit,3,Steel plate,1,,,,
Low density structure,1,,,,,20,Assembling machine (1.0),Copper plate,20,Plastic bar,5,Steel plate,2,,,,,,
Processing unit,1,,,,,10,Assembling machine (1.0),Advanced circuit,2,Electronic circuit,20,Sulfuric acid,5,,,,,,
Utility science pack,3,,,,,21,Assembling machine (1.0),Flying robot frame,1,Low density structure,3,Processing unit,2,,,,,,
,,,,,,,,,,,,,,,,,,,
Solid fuel,1,,,,,2,Chemical plant (1.0),Petroleum gas,20,,,,,,,,,,
